# IVT, I, V, T, IV, IT
0,0,0,0,0,0
1,0,0,1,0,1
2,0,0,2,0,2
3,0,0,3,0,3
4,0,0,4,0,4
5,0,0,5,0,5
6,0,0,6,0,6
7,0,1,0,1,0
8,0,1,2,1,2
9,0,1,3,1,3
10,0,1,4,1,4
11,0,2,0,2,0
12,0,2,1,2,1
13,0,2,2,2,2
14,0,2,3,2,3
15,0,2,4,2,4
16,0,2,7,2,7
17,0,3,0,3,0
18,0,3,2,3,2
19,0,3,3,3,3
20,0,3,4,3,4
21,0,9,9,4,8
22,1,0,0,5,9
23,1,0,1,5,10
24,1,0,2,5,11
25,1,0,3,5,12
26,1,0,4,5,13
27,1,0,6,5,15
28,1,1,0,6,9
29,1,1,2,6,11
30,1,1,3,6,12
31,1,1,4,6,13
32,1,3,2,7,11
33,1,3,3,7,12
34,1,3,4,7,13
35,1,4,1,8,10
36,1,4,2,8,11
37,1,4,3,8,12
38,1,4,4,8,13
39,1,4,5,8,14
40,1,4,6,8,15
41,1,4,7,8,16
42,1,6,0,9,9
43,1,6,3,9,12
44,1,6,4,9,13
45,1,9,9,10,17
46,2,0,0,11,18
47,2,0,2,11,19
48,2,0,3,11,20
49,2,0,4,11,21
50,2,0,6,11,22
51,2,7,8,12,23
52,2,9,9,13,24
53,3,0,0,14,25
54,3,0,3,14,27
55,3,0,4,14,28
56,3,4,0,15,25
57,3,4,1,15,26
58,3,4,3,15,27
59,3,4,4,15,28
60,3,4,5,15,29
61,3,4,6,15,30
62,3,4,7,15,31
63,3,6,0,16,25
64,3,6,3,16,27
65,3,6,4,16,28
66,3,9,9,17,32
67,4,0,0,18,33
68,4,0,1,18,34
69,4,0,2,18,35
70,4,0,3,18,36
71,4,0,4,18,37
72,4,4,1,19,34
73,4,4,2,19,35
74,4,4,3,19,36
75,4,4,4,19,37
76,4,4,5,19,38
77,4,4,6,19,39
78,4,4,7,19,40
79,4,9,9,20,41
80,5,8,0,21,42
81,5,8,2,21,43
82,5,8,3,21,44
83,5,8,4,21,45
84,5,8,6,21,46
85,5,9,9,22,47
86,6,5,3,23,48
87,6,5,4,23,49
88,6,9,9,24,50
